Phase and Amplitude Scintillation Indices from KHO (78.147,16.038,0.522)

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2313,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma , HHMM
 432120.00,18, 0, 7,301.16, 30.11, 51.41, 9503.82, 151.332,  0.017,  0.056,  0.027,  0.057,  0.091,  0.145,  0.146,  0.146, 0002
 432120.00,23, 0, 1,332.38, 19.08, 43.79, 2026.04,  -3.357,  0.065,  0.111,  0.065,  0.073,  0.089,  0.108,  0.109,  0.109, 0002
 432120.00,23, 0, 7,332.38, 19.08, 49.28, 2026.34,  94.225,  0.015,  0.062,  0.034,  0.053,  0.070,  0.097,  0.097,  0.097, 0002
 432120.00, 8, 0, 1, 61.29, 32.00, 45.70, 5022.49,  -6.343,  0.039,  0.066,  0.052,  0.070,  0.085,  0.100,  0.100,  0.100, 0002
 432120.00, 8, 0, 7, 61.29, 32.00, 50.44, 4949.08,  91.893,  0.016,  0.051,  0.030,  0.053,  0.065,  0.079,  0.079,  0.080, 0002
 432120.00,15, 0, 1,273.17, 36.66, 50.01, 4597.18, -12.404,  0.124,  0.059,  0.032,  0.060,  0.080,  0.097,  0.097,  0.097, 0002
 432120.00, 5, 0, 1,218.74, 30.80, 47.27,12895.78, -14.170,  0.287,  0.111,  0.043,  0.070,  0.091,  0.122,  0.122,  0.122, 0002
 432120.00,30, 0, 1,141.42, 55.94, 51.64, 9936.34, -16.901,  0.025,  0.053,  0.026,  0.069,  0.115,  0.158,  0.158,  0.158, 0002
 432120.00,30, 0, 7,141.42, 55.94, 53.62, 9934.06, 254.475,  0.002,  0.045,  0.021,  0.068,  0.122,  0.170,  0.171,  0.171, 0002
 432120.00,14, 0, 1,159.88, 24.70, 45.97, 1664.40,  -4.299,  0.140,  0.122,  0.050,  0.066,  0.083,  0.095,  0.096,  0.096, 0002
 432120.00,14, 0, 7,159.88, 24.70, 48.20, 1664.74, 129.392,  0.009,  0.071,  0.039,  0.062,  0.085,  0.105,  0.105,  0.105, 0002
 432120.00,27, 0, 1, 19.10, 31.74, 45.90, 7965.88,  -5.467,  0.022,  0.069,  0.051,  0.072,  0.084,  0.098,  0.098,  0.098, 0002
 432120.00,27, 0, 7, 19.10, 31.74, 51.64, 7963.64, 113.067,  0.004,  0.042,  0.026,  0.048,  0.059,  0.069,  0.069,  0.069, 0002
 432120.00,13, 0, 1,232.26, 55.77, 52.63, 7536.49, -13.619,  0.005,  0.037,  0.023,  0.053,  0.070,  0.086,  0.086,  0.086, 0002
 432180.00, 7, 0, 1, 98.37, 37.55, 48.30,13202.98, -12.838,  0.033,  0.073,  0.038,  0.067,  0.087,  0.140,  0.140,  0.140, 0003
 432180.00,18, 0, 1,300.74, 29.87, 46.81, 9565.97,  -7.307,  0.172,  0.065,  0.046,  0.073,  0.109,  0.174,  0.175,  0.175, 0003
 432180.00,18, 0, 7,300.74, 29.87, 51.30, 9563.82, 151.284,  0.007,  0.061,  0.027,  0.060,  0.102,  0.165,  0.166,  0.166, 0003
 432180.00,23, 0, 1,332.20, 19.46, 43.98, 2086.04,  -3.262,  0.064,  0.133,  0.063,  0.077,  0.099,  0.130,  0.131,  0.131, 0003
 432180.00,23, 0, 7,332.20, 19.46, 49.07, 2086.34,  94.218,  0.001,  0.062,  0.035,  0.058,  0.087,  0.107,  0.107,  0.107, 0003
 432180.00, 8, 0, 1, 60.82, 32.18, 45.63, 5082.49,  -6.340,  0.036,  0.068,  0.052,  0.074,  0.093,  0.133,  0.133,  0.133, 0003
 432180.00, 8, 0, 7, 60.82, 32.18, 50.25, 5009.08,  91.862,  0.002,  0.049,  0.031,  0.055,  0.073,  0.100,  0.100,  0.100, 0003
 432180.00,15, 0, 1,272.88, 37.04, 49.83, 4657.18, -12.774,  0.054,  0.051,  0.032,  0.064,  0.085,  0.135,  0.135,  0.135, 0003
 432180.00, 5, 0, 1,218.49, 30.40, 47.88,12955.78, -14.279,  0.075,  0.059,  0.040,  0.070,  0.092,  0.147,  0.147,  0.147, 0003
 432180.00,30, 0, 1,140.66, 55.82, 51.58, 9996.34, -16.887,  0.052,  0.044,  0.026,  0.078,  0.142,  0.200,  0.200,  0.200, 0003
 432180.00,30, 0, 7,140.66, 55.82, 53.39, 9994.06, 254.463,  0.004,  0.045,  0.021,  0.082,  0.163,  0.229,  0.230,  0.230, 0003
 432180.00,14, 0, 1,159.72, 25.11, 45.65, 1724.40,  -4.089,  0.027,  0.113,  0.052,  0.074,  0.098,  0.141,  0.141,  0.141, 0003
 432180.00,14, 0, 7,159.72, 25.11, 48.01, 1724.74, 129.399,  0.003,  0.074,  0.040,  0.065,  0.088,  0.120,  0.120,  0.120, 0003
 432180.00,27, 0, 1, 18.62, 31.60, 45.85, 8025.88,  -5.361,  0.048,  0.065,  0.051,  0.077,  0.094,  0.137,  0.138,  0.138, 0003
 432180.00,27, 0, 7, 18.62, 31.60, 51.33, 8023.64, 113.050,  0.007,  0.048,  0.027,  0.053,  0.067,  0.101,  0.101,  0.101, 0003
 432180.00,13, 0, 1,231.54, 55.99, 52.49, 7596.49, -13.525,  0.055,  0.043,  0.024,  0.057,  0.080,  0.140,  0.140,  0.140, 0003
 432240.00, 7, 0, 1, 98.16, 37.16, 47.92,13262.98, -12.705,  0.049,  0.084,  0.040,  0.065,  0.091,  0.110,  0.111,  0.111, 0004
 432240.00,18, 0, 1,300.33, 29.62, 46.99, 9625.97,  -7.616,  0.018,  0.068,  0.045,  0.064,  0.092,  0.120,  0.121,  0.121, 0004
